Scheme Name	Net Asset Value
HSBC Corporate Bond Fund -Regular Plan - Bonus	24.1824
	
	
	
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	27.1324
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2262
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.0016
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	26.0042
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3807
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	10.8544
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
	
	
	
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1707.8174
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1265.1396
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	2944.7785
Invesco India Corporate Bond Fund - Direct Plan - Growth	2943.847
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1255.618
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1193.2492
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	2903.0537
Invesco India Corporate Bond Fund - Growth	2765.2673
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1584.9598
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1143.0215
	
	
	
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3400.6386
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1075.5142
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3275.7765
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1067.1216
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
	
	
	
Mirae Asset Corporate Bond Fund Direct Growth Plan	11.2914
Mirae Asset Corporate Bond Fund Direct IDCW	11.2896
Mirae Asset Corporate Bond Fund Regular Growth	11.1643
Mirae Asset Corporate Bond Fund Regular IDCW	11.1641
	
	
	
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	17.1681
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.6596
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	11.8962
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0959
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	38.6820
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	54.1796
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	37.1078
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	51.9578
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	16.6459
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.5354
